Interest Code,Occupation
AE,Actors
AER,Floral Designers
AER,Models
SA,Childcare Workers
RA,Furniture Finishers
SAE,Nannies
RAC,"Sewers, Hand"
RA,"Stone Cutters and Carvers, Manufacturing"
RAE,"Tailors, Dressmakers, and Custom Sewers"
RCA,"Glass Blowers, Molders, Benders, and Finishers"
RCA,Shoe and Leather Workers and Repairers
RCA,Tile and Stone Setters
ARC,"Cooks, Private Household"
ARE,Craft Artists
AR,Dancers
AIC,Desktop Publishers
AER,Fashion Designers
AR,"Fine Artists, Including Painters, Sculptors, and Illustrators"
AES,"Hairdressers, Hairstylists, and Cosmetologists"
AR,"Makeup Artists, Theatrical and Performance"
AER,Merchandise Displayers and Window Trimmers
AR,Photographers
RA,"Camera Operators, Television, Video, and Film"
RAC,Fabric and Apparel Patternmakers
RAC,Jewelers and Precious Stone and Metal Workers
RAI,Musical Instrument Repairers and Tuners
RA,"Potters, Manufacturing"
SA,"Preschool Teachers, Except Special Education"
SAE,Self-Enrichment Teachers
RA,Sound Engineering Technicians
ERA,Chefs and Head Cooks
AE,Art Directors
AES,Broadcast Announcers and Radio Disc Jockeys
ASE,Choreographers
AER,Commercial and Industrial Designers
AEC,Editors
AEI,Film and Video Editors
ARE,Graphic Designers
AE,Interior Designers
AS,Interpreters and Translators
AIR,Landscape Architects
AES,Music Directors and Composers
AES,Musicians and Singers
AEI,"News Analysts, Reporters, and Journalists"
AI,"Poets, Lyricists and Creative Writers"
AI,Special Effects Artists and Animators
AIC,Technical Writers
AE,Video Game Designers
RA,Museum Technicians and Conservators
EAS,Public Relations Specialists
SA,Recreational Therapists
SAC,Training and Development Specialists
AI,"Architects, Except Landscape and Naval"
AR,Set and Exhibit Designers
IAR,Anthropologists and Archeologists
SA,"Architecture Teachers, Postsecondary"
SAI,Art Therapists
SA,"Art, Drama, and Music Teachers, Postsecondary"
IAR,Astronomers
IAR,Biochemists and Biophysicists
SA,"Communications Teachers, Postsecondary"
SAI,"Education Teachers, Postsecondary"
SAI,"English Language and Literature Teachers, Postsecondary"
SAI,"Foreign Language and Literature Teachers, Postsecondary"
IAR,Geneticists
SAI,Marriage and Family Therapists
SAI,"Philosophy and Religion Teachers, Postsecondary"
IAS,Political Scientists
IAS,Sociologists
SA,"Special Education Teachers, Preschool"
SAI,Substance Abuse and Behavioral Disorder Counselors
IEA,Urban and Regional Planners
