Interest Code,Occupation
ECR,Amusement and Recreation Attendants
ECR,Baristas
EC,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
RE,Cement Masons and Concrete Finishers
RIE,Fishing and Hunting Workers
ER,Aircraft Cargo Handling Supervisors
ECR,Bartenders
ESC,Customer Service Representatives
ECR,Demonstrators and Product Promoters
ERS,Farm Labor Contractors
ECR,First-Line Supervisors of Food Preparation and Serving Workers
ECR,First-Line Supervisors of Gambling Services Workers
ERC,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
ECR,First-Line Supervisors of Housekeeping and Janitorial Workers
ECS,First-Line Supervisors of Retail Sales Workers
ESC,Flight Attendants
ECR,Food Service Managers
EC,Gambling Managers
ES,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
ECR,Parts Salespersons
ECS,Postmasters and Mail Superintendents
ERC,Railroad Conductors and Yardmasters
EC,Recycling Coordinators
EC,Retail Loss Prevention Specialists
EC,Retail Salespersons
EC,Telemarketers
EC,Travel Guides
RE,"Cooks, Restaurant"
RES,Manicurists and Pedicurists
EC,Administrative Services Managers
EC,Air Traffic Controllers
ECR,Airfield Operations Specialists
ERA,Chefs and Head Cooks
ECS,Compliance Officers
EC,Customs Brokers
EIC,Detectives and Criminal Investigators
ERC,First-Line Supervisors of Construction Trades and Extraction Workers
ECR,First-Line Supervisors of Correctional Officers
ERC,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
ERS,First-Line Supervisors of Firefighting and Prevention Workers
ERC,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
ECR,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
ECR,"First-Line Supervisors of Mechanics, Installers, and Repairers"
ECS,First-Line Supervisors of Office and Administrative Support Workers
ECS,First-Line Supervisors of Personal Service Workers
ESC,First-Line Supervisors of Police and Detectives
ERC,First-Line Supervisors of Production and Operating Workers
ECS,Funeral Home Managers
EC,Geothermal Production Managers
EC,Hydroelectric Production Managers
ESC,"Morticians, Undertakers, and Funeral Arrangers"
ECR,"Opticians, Dispensing"
ERS,Police and Sheriff's Patrol Officers
EC,Private Detectives and Investigators
EC,Real Estate Sales Agents
ESR,Skincare Specialists
ER,Solar Energy Installation Managers
ECR,Solar Sales Representatives and Assessors
ECS,Spa Managers
EC,Travel Agents
EC,"Wholesale and Retail Buyers, Except Farm Products"
ECR,Wind Energy Operations Managers
EAC,Advertising and Promotions Managers
ECA,Advertising Sales Agents
ES,"Agents and Business Managers of Artists, Performers, and Athletes"
ECR,Appraisers and Assessors of Real Estate
ECR,Biofuels Production Managers
EI,Biofuels/Biodiesel Technology and Product Development Managers
ECR,Biomass Power Plant Managers
EIC,Brownfield Redevelopment Specialists and Site Managers
EIC,Business Continuity Planners
ECR,"Buyers and Purchasing Agents, Farm Products"
EIC,Clinical Research Coordinators
ECS,Compensation and Benefits Managers
ECI,Computer and Information Systems Managers
ERC,Construction Managers
ESC,Credit Counselors
ESC,"Directors, Religious Activities and Education"
ERC,"Farmers, Ranchers, and Other Agricultural Managers"
EC,Financial Examiners
ECS,Financial Managers
ECS,First-Line Supervisors of Non-Retail Sales Workers
ES,Fitness and Wellness Coordinators
EIC,"Fraud Examiners, Investigators and Analysts"
ECA,Fundraisers
ECS,General and Operations Managers
ESC,Human Resources Managers
ECS,Human Resources Specialists
EC,Industrial Production Managers
EC,Information Technology Project Managers
ECS,Insurance Sales Agents
ECS,Labor Relations Specialists
ES,Legislators
ECS,Lodging Managers
EC,Logisticians
EC,Loss Prevention Managers
EC,Marketing Managers
ECA,Media Programming Directors
ERC,Media Technical Directors/Managers
ECS,Medical and Health Services Managers
ECS,"Meeting, Convention, and Event Planners"
ECR,Online Merchants
ECS,Personal Financial Advisors
EAS,Producers and Directors
EC,"Property, Real Estate, and Community Association Managers"
EAS,Public Relations Specialists
EC,Purchasing Managers
ECR,Quality Control Systems Managers
EC,Real Estate Brokers
EC,Regulatory Affairs Managers
ERI,Sales Engineers
EC,Sales Managers
EC,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
EIC,Search Marketing Strategists
ECS,"Securities, Commodities, and Financial Services Sales Agents"
ES,Social and Community Service Managers
EC,Supply Chain Managers
EIA,Sustainability Specialists
EA,Talent Directors
ES,Training and Development Managers
ECR,"Transportation, Storage, and Distribution Managers"
ECI,Wind Energy Development Managers
EAC,Writers and Authors
IEC,Management Analysts
EIS,"Administrative Law Judges, Adjudicators, and Hearing Officers"
ERI,Architectural and Engineering Managers
EC,Chief Executives
ECI,Chief Sustainability Officers
ESC,Clinical Nurse Specialists
EC,Curators
ESC,"Education Administrators, Kindergarten through Secondary"
ECS,"Education Administrators, Postsecondary"
EC,Investment Fund Managers
ES,"Judges, Magistrate Judges, and Magistrates"
EI,Lawyers
EI,Natural Sciences Managers
SE,"Arbitrators, Mediators, and Conciliators"
SEI,"Business Teachers, Postsecondary"
SEA,Clergy
IEC,Environmental Economists
IE,Industrial Ecologists
IEA,Urban and Regional Planners
