Interest Code,Occupation
R,Agricultural Equipment Operators
RE,Cement Masons and Concrete Finishers
RC,Conveyor Operators and Tenders
RC,"Cooks, Fast Food"
RC,"Cutters and Trimmers, Hand"
RCI,"Derrick Operators, Oil and Gas"
RCS,Dining Room and Cafeteria Attendants and Bartender Helpers
RC,Dishwashers
RC,Fallers
RC,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
RCS,Fast Food and Counter Workers
RIE,Fishing and Hunting Workers
R,Floor Sanders and Finishers
RC,Food Preparation Workers
RC,"Graders and Sorters, Agricultural Products"
RC,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
RC,Landscaping and Groundskeeping Workers
RC,Laundry and Dry-Cleaning Workers
RIC,Logging Equipment Operators
RC,Maids and Housekeeping Cleaners
R,"Meat, Poultry, and Fish Cutters and Trimmers"
R,"Painting, Coating, and Decorating Workers"
R,Plasterers and Stucco Masons
RC,"Pressers, Textile, Garment, and Related Materials"
RC,"Rock Splitters, Quarry"
R,"Roustabouts, Oil and Gas"
R,Septic Tank Servicers and Sewer Pipe Cleaners
RC,Sewing Machine Operators
RC,Adhesive Bonding Machine Operators and Tenders
RCI,Agricultural Inspectors
RC,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
RS,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
RI,Animal Breeders
RC,Animal Caretakers
RSC,Animal Control Workers
R,Animal Trainers
RE,Athletes and Sports Competitors
RC,Automotive and Watercraft Service Attendants
R,Automotive Body and Related Repairers
RCE,Automotive Glass Installers and Repairers
RC,Baggage Porters and Bellhops
RC,Bakers
RCI,Bicycle Repairers
RCI,Biofuels Processing Technicians
RCI,Biomass Plant Technicians
RCI,Brickmasons and Blockmasons
RCE,Bridge and Lock Tenders
RS,"Bus Drivers, Transit and Intercity"
RCE,Butchers and Meat Cutters
RC,Cabinetmakers and Bench Carpenters
RCI,Carpenters
RE,Carpet Installers
RC,Chemical Equipment Operators and Tenders
RC,Chemical Plant and System Operators
RC,Cleaners of Vehicles and Equipment
RC,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
RCI,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
RCI,"Coil Winders, Tapers, and Finishers"
RC,"Coin, Vending, and Amusement Machine Servicers and Repairers"
RC,Computer Numerically Controlled Tool Operators
RC,Construction Laborers
RCI,Continuous Mining Machine Operators
RC,"Cooks, Institution and Cafeteria"
RE,"Cooks, Restaurant"
RC,"Cooks, Short Order"
RCI,Cooling and Freezing Equipment Operators and Tenders
REC,Correctional Officers and Jailers
RCE,Couriers and Messengers
RCI,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
RC,"Cutting and Slicing Machine Setters, Operators, and Tenders"
RC,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
RIC,Dental Laboratory Technicians
R,Dredge Operators
RCI,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
RE,Driver/Sales Workers
RC,Drywall and Ceiling Tile Installers
RIC,"Earth Drillers, Except Oil and Gas"
RC,Electrical and Electronic Equipment Assemblers
RIC,Electrical Power-Line Installers and Repairers
RCI,Electromechanical Equipment Assemblers
RIC,Endoscopy Technicians
RC,Engine and Other Machine Assemblers
RC,Etchers and Engravers
R,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
RIC,"Explosives Workers, Ordnance Handling Experts, and Blasters"
RC,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
R,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
RCI,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
R,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
RC,Fence Erectors
RCI,Fiberglass Laminators and Fabricators
RC,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
RC,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
RC,Food Batchmakers
RC,Food Cooking Machine Operators and Tenders
RCI,Forest and Conservation Workers
RCI,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,Foundry Mold and Coremakers
RC,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
RA,Furniture Finishers
RCE,Gambling Surveillance Officers and Gambling Investigators
RC,Gas Compressor and Gas Pumping Station Operators
RC,Gas Plant Operators
RC,Geothermal Technicians
RCA,"Glass Blowers, Molders, Benders, and Finishers"
RC,Glaziers
RC,"Grinding and Polishing Workers, Hand"
R,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
RC,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
RC,Heavy and Tractor-Trailer Truck Drivers
R,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
RC,Helpers--Carpenters
RC,Helpers--Electricians
RC,Helpers--Extraction Workers
RCI,"Helpers--Installation, Maintenance, and Repair Workers"
R,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
RC,Helpers--Production Workers
RC,Helpers--Roofers
RC,Highway Maintenance Workers
REC,Hoist and Winch Operators
RCI,Home Appliance Repairers
RC,Industrial Truck and Tractor Operators
R,"Insulation Workers, Floor, Ceiling, and Wall"
RCI,"Insulation Workers, Mechanical"
R,"Laborers and Freight, Stock, and Material Movers, Hand"
RIC,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
RCI,"Layout Workers, Metal and Plastic"
RS,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
RC,Light Truck Drivers
RC,"Loading and Moving Machine Operators, Underground Mining"
RC,Locksmiths and Safe Repairers
RC,Locomotive Engineers
RC,Log Graders and Scalers
RC,Machine Feeders and Offbearers
RES,Manicurists and Pedicurists
RC,Manufactured Building and Mobile Home Installers
R,Mechanical Door Repairers
RCI,Medical Equipment Preparers
RIC,Metal-Refining Furnace Operators and Tenders
RC,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
RCI,Millwrights
RCI,"Mixing and Blending Machine Setters, Operators, and Tenders"
RC,"Molders, Shapers, and Casters, Except Metal and Plastic"
RCI,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,Motion Picture Projectionists
RCE,Motorboat Operators
R,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
RIC,Non-Destructive Testing Specialists
RC,"Office Machine Operators, Except Computer"
RCI,Operating Engineers and Other Construction Equipment Operators
RC,Ophthalmic Laboratory Technicians
RC,Outdoor Power Equipment and Other Small Engine Mechanics
RC,Packaging and Filling Machine Operators and Tenders
RC,"Packers and Packagers, Hand"
RC,"Painters, Construction and Maintenance"
RC,"Paper Goods Machine Setters, Operators, and Tenders"
RC,Paperhangers
RC,Parking Attendants
RC,Parking Enforcement Workers
RSE,Passenger Attendants
RC,"Paving, Surfacing, and Tamping Equipment Operators"
RC,Pest Control Workers
RC,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
RC,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
RCI,Pile Driver Operators
R,Pipelayers
RC,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,"Pourers and Casters, Metal"
RC,Power Plant Operators
RC,Print Binding and Finishing Workers
RC,Printing Press Operators
RCI,"Pump Operators, Except Wellhead Pumpers"
RCI,Rail Car Repairers
RCI,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
R,Rail-Track Laying and Maintenance Equipment Operators
RCE,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
RIC,Recreational Vehicle Service Technicians
RC,Recycling and Reclamation Workers
RCI,"Refractory Materials Repairers, Except Brickmasons"
RC,Refuse and Recyclable Material Collectors
RCI,Reinforcing Iron and Rebar Workers
RCI,Riggers
RC,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,"Roof Bolters, Mining"
RC,Roofers
REC,"Rotary Drill Operators, Oil and Gas"
RC,Sailors and Marine Oilers
RCI,"Sawing Machine Setters, Operators, and Tenders, Wood"
RCE,Security Guards
RC,Segmental Pavers
RCI,Semiconductor Processing Technicians
RCI,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
RCI,"Service Unit Operators, Oil and Gas"
RAC,"Sewers, Hand"
REC,Shampooers
R,Sheet Metal Workers
RCA,Shoe and Leather Workers and Repairers
RC,Shoe Machine Operators and Tenders
RC,Slaughterers and Meat Packers
RC,Solar Photovoltaic Installers
RA,"Stone Cutters and Carvers, Manufacturing"
RIC,Structural Iron and Steel Workers
RC,Subway and Streetcar Operators
RAE,"Tailors, Dressmakers, and Custom Sewers"
RC,"Tank Car, Truck, and Ship Loaders"
R,Tapers
RCE,Team Assemblers
RE,Telecommunications Line Installers and Repairers
R,Terrazzo Workers and Finishers
R,Textile Bleaching and Dyeing Machine Operators and Tenders
RC,"Textile Cutting Machine Setters, Operators, and Tenders"
RC,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
RC,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
RCA,Tile and Stone Setters
RC,Timing Device Assemblers and Adjusters
RC,Tire Builders
RC,Tire Repairers and Changers
RC,"Tool Grinders, Filers, and Sharpeners"
REC,Transportation Security Screeners
RCI,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
R,Tree Trimmers and Pruners
REC,"Umpires, Referees, and Other Sports Officials"
R,Upholsterers
RSI,Veterinary Assistants and Laboratory Animal Caretakers
RC,Weatherization Installers and Technicians
RCI,"Welders, Cutters, Solderers, and Brazers"
RC,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
RCI,Wellhead Pumpers
RCI,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
RIC,Aerospace Engineering and Operations Technologists and Technicians
RIC,Agricultural Technicians
RCI,Aircraft Mechanics and Service Technicians
RCA,Architectural and Civil Drafters
RIC,Audio and Video Technicians
RC,Audiovisual Equipment Installers and Repairers
RIC,Automotive Engineering Technicians
RIC,Automotive Service Technicians and Mechanics
RCI,Aviation Inspectors
RIC,Avionics Technicians
RCE,Bailiffs
REC,Barbers
RC,Boilermakers
RCI,Broadcast Technicians
RC,Bus and Truck Mechanics and Diesel Engine Specialists
RCI,Camera and Photographic Equipment Repairers
RA,"Camera Operators, Television, Video, and Film"
REC,"Captains, Mates, and Pilots of Water Vessels"
RIS,Cardiovascular Technologists and Technicians
RCI,Civil Engineering Technologists and Technicians
R,Commercial Divers
RIE,Commercial Pilots
RIC,Computer User Support Specialists
RCI,"Computer, Automated Teller, and Office Machine Repairers"
RCI,Construction and Building Inspectors
RCI,"Control and Valve Installers and Repairers, Except Mechanical Door"
RCI,Crane and Tower Operators
RC,"Electric Motor, Power Tool, and Related Repairers"
RIC,Electrical and Electronic Engineering Technologists and Technicians
RCI,Electrical and Electronics Drafters
RC,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
RIC,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
RC,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
RIC,Electricians
RIC,Electro-Mechanical and Mechatronics Technologists and Technicians
RIC,"Electronic Equipment Installers and Repairers, Motor Vehicles"
RIC,Elevator and Escalator Installers and Repairers
RCI,Embalmers
RAC,Fabric and Apparel Patternmakers
RCI,Farm Equipment Mechanics and Service Technicians
RCI,Fire Inspectors and Investigators
RSE,Firefighters
RIC,Food Science Technicians
RIE,Forest and Conservation Technicians
RCE,Forest Fire Inspectors and Prevention Specialists
RI,Gem and Diamond Workers
RC,Hazardous Materials Removal Workers
RCI,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
RCI,Hydroelectric Plant Technicians
RIC,Industrial Machinery Mechanics
RC,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
RAC,Jewelers and Precious Stone and Metal Workers
RCI,Machinists
RCS,Magnetic Resonance Imaging Technologists
RCI,"Maintenance and Repair Workers, General"
RCI,"Maintenance Workers, Machinery"
RCI,Mechanical Drafters
RI,Mechanical Engineering Technologists and Technicians
RIC,Medical and Clinical Laboratory Technicians
RIS,Medical Appliance Technicians
RIC,Medical Equipment Repairers
RC,"Mobile Heavy Equipment Mechanics, Except Engines"
RIC,"Model Makers, Metal and Plastic"
RAC,"Model Makers, Wood"
RCI,Motorboat Mechanics and Service Technicians
R,Motorcycle Mechanics
RAI,Musical Instrument Repairers and Tuners
RI,Neurodiagnostic Technologists
RCI,Nuclear Monitoring Technicians
RCE,Nuclear Power Reactor Operators
RCI,Nuclear Technicians
RCI,"Patternmakers, Metal and Plastic"
RIA,"Patternmakers, Wood"
RIC,Photonics Technicians
RCI,"Plumbers, Pipefitters, and Steamfitters"
RA,"Potters, Manufacturing"
RIC,Power Distributors and Dispatchers
RIC,Precision Agriculture Technicians
RC,Prepress Technicians and Workers
RC,"Radio, Cellular, and Tower Equipment Installers and Repairers"
RSC,Radiologic Technologists and Technicians
RI,Robotics Technicians
RC,Security and Fire Alarm Systems Installers
RCE,Ship Engineers
RC,Signal and Track Switch Repairers
RC,Solar Thermal Installers and Technicians
RA,Sound Engineering Technicians
RIC,Stationary Engineers and Boiler Operators
R,Stonemasons
RC,Structural Metal Fabricators and Fitters
RSC,Surgical Technologists
REC,Telecommunications Engineering Specialists
RIC,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
RIC,Tool and Die Makers
RIE,Traffic Technicians
REC,Transit and Railroad Police
RI,Veterinary Technologists and Technicians
RCI,Watch and Clock Repairers
RC,Water and Wastewater Treatment Plant and System Operators
RC,Wind Turbine Service Technicians
RCI,"Airline Pilots, Copilots, and Flight Engineers"
RI,Automotive Engineers
RIC,Biological Technicians
RIC,Cartographers and Photogrammetrists
RIC,Civil Engineers
REC,Computer Network Support Specialists
RIE,Conservation Scientists
