Interest Code,Occupation
RCS,Dining Room and Cafeteria Attendants and Bartender Helpers
RCS,Fast Food and Counter Workers
SA,Childcare Workers
SER,Crossing Guards and Flaggers
SRE,"Food Servers, Nonrestaurant"
SER,Funeral Attendants
SR,Home Health Aides
SEC,"Locker Room, Coatroom, and Dressing Room Attendants"
SAE,Nannies
SRC,Personal Care Aides
SR,Physical Therapist Aides
SRC,Psychiatric Aides
SCE,"Ushers, Lobby Attendants, and Ticket Takers"
SEC,Waiters and Waitresses
RS,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
RS,"Bus Drivers, Transit and Intercity"
ESC,Customer Service Representatives
ESC,Flight Attendants
ES,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
RS,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
CS,Medical Secretaries and Administrative Assistants
RSI,Veterinary Assistants and Laboratory Animal Caretakers
SIR,Acute Care Nurses
SR,"Career/Technical Education Teachers, Postsecondary"
SE,Concierges
SRC,Dental Hygienists
SIR,Dietetic Technicians
SCE,"Eligibility Interviewers, Government Programs"
SRE,Exercise Trainers and Group Fitness Instructors
SIR,Hearing Aid Specialists
SR,Licensed Practical and Licensed Vocational Nurses
SR,Massage Therapists
SCR,Medical Assistants
SCR,Nursing Assistants
SR,Occupational Therapy Aides
SR,Occupational Therapy Assistants
SE,Patient Representatives
SRI,Physical Therapist Assistants
SA,"Preschool Teachers, Except Special Education"
SER,Psychiatric Technicians
SRC,Radiation Therapists
SEC,Residential Advisors
SIR,Respiratory Therapists
SAE,Self-Enrichment Teachers
SC,Speech-Language Pathology Assistants
SE,Tour Guides and Escorts
SI,Tutors
SAE,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
SAC,"Career/Technical Education Teachers, Middle School"
S,"Career/Technical Education Teachers, Secondary School"
SE,"Child, Family, and School Social Workers"
SRE,Coaches and Scouts
SIE,Community Health Workers
SIR,Critical Care Nurses
SEC,"Education and Childcare Administrators, Preschool and Daycare"
SAC,"Elementary School Teachers, Except Special Education"
SE,Emergency Management Directors
SEC,Equal Opportunity Representatives and Officers
SIR,Exercise Physiologists
SE,Health Education Specialists
SI,Health Informatics Specialists
SA,"Kindergarten Teachers, Except Special Education"
SA,"Middle School Teachers, Except Special and Career/Technical Education"
SAI,Music Therapists
SRA,Park Naturalists
SEC,Probation Officers and Correctional Treatment Specialists
SEA,Recreation Workers
SA,Recreational Therapists
SIC,Registered Nurses
SI,Rehabilitation Counselors
SAE,"Secondary School Teachers, Except Special and Career/Technical Education"
SA,"Special Education Teachers, Middle School"
SI,"Special Education Teachers, Secondary School"
SAC,Training and Development Specialists
SRI,Acupuncturists
SR,Adapted Physical Education Specialists
SI,Advanced Practice Psychiatric Nurses
SIR,"Agricultural Sciences Teachers, Postsecondary"
SI,"Anthropology and Archeology Teachers, Postsecondary"
SE,"Arbitrators, Mediators, and Conciliators"
SA,"Architecture Teachers, Postsecondary"
SIA,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
SAI,Art Therapists
SA,"Art, Drama, and Music Teachers, Postsecondary"
SRI,Athletic Trainers
SI,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
SI,"Biological Science Teachers, Postsecondary"
SEI,"Business Teachers, Postsecondary"
SIR,"Chemistry Teachers, Postsecondary"
SIR,Chiropractors
SEA,Clergy
SA,"Communications Teachers, Postsecondary"
SIC,"Computer Science Teachers, Postsecondary"
SI,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
SI,"Economics Teachers, Postsecondary"
SAI,"Education Teachers, Postsecondary"
S,"Educational, Guidance, and Career Counselors and Advisors"
SIR,"Engineering Teachers, Postsecondary"
SAI,"English Language and Literature Teachers, Postsecondary"
SIA,"Environmental Science Teachers, Postsecondary"
SIA,"Family and Consumer Sciences Teachers, Postsecondary"
SRE,Farm and Home Management Educators
SAI,"Foreign Language and Literature Teachers, Postsecondary"
SIR,"Forestry and Conservation Science Teachers, Postsecondary"
SIA,Genetic Counselors
SI,"Geography Teachers, Postsecondary"
SI,"Health Specialties Teachers, Postsecondary"
SI,Healthcare Social Workers
SIA,"History Teachers, Postsecondary"
SI,Hospitalists
SIE,Instructional Coordinators
SIE,"Law Teachers, Postsecondary"
SIC,"Library Science Teachers, Postsecondary"
SIR,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
SAI,Marriage and Family Therapists
SIA,"Mathematical Science Teachers, Postsecondary"
SIA,Mental Health and Substance Abuse Social Workers
SIA,Mental Health Counselors
SR,Midwives
SI,Nurse Midwives
SIR,Nurse Practitioners
SI,"Nursing Instructors and Teachers, Postsecondary"
SI,Occupational Therapists
SRI,Orthotists and Prosthetists
SAI,"Philosophy and Religion Teachers, Postsecondary"
SIR,Physical Therapists
SIR,Physician Assistants
SI,"Physics Teachers, Postsecondary"
SEA,"Political Science Teachers, Postsecondary"
SIR,Preventive Medicine Physicians
SIA,"Psychology Teachers, Postsecondary"
S,"Recreation and Fitness Studies Teachers, Postsecondary"
SI,"Social Work Teachers, Postsecondary"
SIA,"Sociology Teachers, Postsecondary"
SA,"Special Education Teachers, Preschool"
SIA,Speech-Language Pathologists
SAI,Substance Abuse and Behavioral Disorder Counselors
SC,"Teaching Assistants, Postsecondary"
